Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event,game_id,Minute Type,Half
81.0,Obinna Nwobodo,FC Cincinnati,0.02,,Blocked,25,Right Foot,,Ian Murphy,Pass (Live),Aaron Boupendza,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
2.0,Emil Forsberg,NY Red Bulls,0.03,,Off Target,23,Right Foot,,Emil Forsberg,Take-On,Dante Vanzeir,Pass (Live),Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
8.0,Emil Forsberg,NY Red Bulls,0.03,,Off Target,35,Right Foot,Free kick,Daniel Edelman,Fouled,,,Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
15.0,Elias Manoel,NY Red Bulls,0.34,0.32,Saved,17,Right Foot,,Emil Forsberg,Pass (Live),Dante Vanzeir,Pass (Live),Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
18.0,Alex Muyl,Nashville,0.03,,Off Target,26,Right Foot,,Alex Muyl,Take-On,,,Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
21.0,Dante Vanzeir,NY Red Bulls,0.17,,Woodwork,14,Right Foot,Volley,Noah Eile,Pass (Live),Emil Forsberg,Pass (Dead),Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
32.0,Frankie Amaya,NY Red Bulls,0.21,0.17,Saved,16,Right Foot,,Frankie Amaya,Take-On,Dylan Nealis,Pass (Live),Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
35.0,Dante Vanzeir,NY Red Bulls,0.01,,Off Target,17,Right Foot,,Emil Forsberg,Pass (Live),Daniel Edelman,Pass (Live),Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
37.0,Dylan Nealis,NY Red Bulls,0.02,,Off Target,32,Right Foot,,Daniel Edelman,Pass (Live),Frankie Amaya,Pass (Live),Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
42.0,Daniel Edelman,NY Red Bulls,0.07,,Blocked,16,Right Foot,,Dylan Nealis,Pass (Live),Peter Stroud,Pass (Live),Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
44.0,Dante Vanzeir,NY Red Bulls,0.05,,Off Target,16,Left Foot,,Dylan Nealis,Pass (Dead),,,Nashville-SC-New-York-Red-Bulls-February-25-2024-Major-League-Soccer,RT,1
