Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event,game_id,Minute Type,Half
34.0,Emiliano Rodríguez,Atl Goianiense,0.30,0.33,Saved,7,Left Foot,,Shaylon,Pass (Live),Gabriel Baralhas,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,1
34.0,Gabriel Baralhas,Atl Goianiense,0.03,,Off Target,31,Right Foot,,Maguinho,Pass (Live),Luiz Fernando,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,1
51.0,Nicolás De La Cruz,Flamengo,0.04,0.62,Goal,32,Right Foot,Free kick,Pedro,Fouled,Léo Pereira,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,ET,1
56.0,Maguinho,Atl Goianiense,0.02,,Off Target,27,Right Foot,,Luiz Fernando,Fouled,Ronaldo,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,ET,1
47.0,Nicolás De La Cruz,Flamengo,0.02,,Off Target,37,Right Foot,,Bruno Henrique,Pass (Live),Pedro,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
53.0,Pedro,Flamengo,0.03,,Blocked,25,Right Foot,,Léo Pereira,Pass (Live),Nicolás De La Cruz,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
60.0,Léo Pereira,Flamengo,0.04,,Off Target,6,Head,,Giorgian De Arrascaeta,Pass (Dead),Luiz Araújo,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
63.0,Luiz Fernando,Atl Goianiense,0.08,0.15,Goal,10,Head,,Maguinho,Pass (Live),Yony González,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
67.0,Guilherme Romão,Atl Goianiense,0.04,,Blocked,10,Head,,Shaylon,Pass (Dead),Yony González,Fouled,Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
68.0,Emiliano Rodríguez,Atl Goianiense,0.05,0.02,Saved,10,Head,,Shaylon,Pass (Dead),Guilherme Romão,Shot,Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
71.0,Shaylon (pen),Atl Goianiense,0.79,,Woodwork,13,Left Foot,,Luiz Felipe,Fouled,Emiliano Rodríguez,Shot,Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
71.0,Luiz Araújo,Flamengo,0.06,,Blocked,17,Left Foot,,Nicolás De La Cruz,Pass (Live),Pedro,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
71.0,Erick Pulgar,Flamengo,0.03,,Off Target,29,Right Foot,,Luiz Araújo,Shot,,,Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
71.0,Matías Viña,Flamengo,0.02,,Blocked,15,Head,,Erick Pulgar,Shot,,,Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,2
