game_id,date,home_team,away_team,league,home_Possession,away_Possession,home_Passing Accuracy,away_Passing Accuracy,home_Shots on Target,away_Shots on Target,home_Saves,away_Saves,home_Cards,away_Cards,home_Fouls,away_Fouls,home_Corners,away_Corners,home_Crosses,away_Crosses,home_Touches,away_Touches,home_Tackles,away_Tackles,home_Interceptions,away_Interceptions,home_Aerials Won,away_Aerials Won,home_Clearances,away_Clearances,home_Offsides,away_Offsides,home_Goal Kicks,away_Goal Kicks,home_Throw Ins,away_Throw Ins,home_Long Balls,away_Long Balls
Corinthians-Fortaleza-May-4-2024-Serie-A,2024-05-04,Corinthians,Fortaleza,Campeonato Brasileiro Série A,64,36,82,72,50,17,100,100,,,14,17,9,5,26,15,676,431,10,14,5,7,21,4,14,20,0,3,9,10,21,18,67,74
Flamengo-Corinthians-May-11-2024-Serie-A,2024-05-11,Flamengo,Corinthians,Campeonato Brasileiro Série A,58,42,81,80,50,23,100,77,,,12,16,13,6,27,17,660,540,19,16,8,5,9,20,16,45,1,1,6,6,18,21,73,53
Palmeiras-Athletico-Paranaense-May-12-2024-Serie-A,2024-05-12,Palmeiras,Athletico Paranaense,Campeonato Brasileiro Série A,62,38,82,70,18,55,83,100,,,11,17,9,6,29,5,577,380,15,18,9,6,20,15,10,30,1,1,3,16,13,17,47,72
Atletico-Goianiense-Cruzeiro-May-12-2024-Serie-A,2024-05-12,Atlético Goianiense,Cruzeiro,Campeonato Brasileiro Série A,46,54,75,78,29,33,75,100,,,13,10,5,5,24,13,535,599,16,17,4,6,12,19,21,29,0,2,5,8,21,19,100,86
Fortaleza-Botafogo-RJ-May-12-2024-Serie-A,2024-05-12,Fortaleza,Botafogo (RJ),Campeonato Brasileiro Série A,43,57,77,83,30,45,80,66,,,12,19,6,5,22,15,487,628,20,20,6,6,12,19,15,26,5,0,11,7,17,11,54,55
Bahia-Red-Bull-Bragantino-May-12-2024-Serie-A,2024-05-12,Bahia,Red Bull Bragantino,Campeonato Brasileiro Série A,49,51,78,76,38,33,100,66,,,12,15,6,7,14,18,552,554,17,23,14,10,19,11,27,11,4,3,9,1,21,24,68,67
Vasco-da-Gama-Vitoria-May-12-2024-Serie-A,2024-05-12,Vasco da Gama,Vitória,Campeonato Brasileiro Série A,56,44,86,78,47,38,80,75,,,12,12,4,4,21,24,705,549,27,19,8,8,17,10,22,16,1,0,6,3,17,28,57,47
Sao-Paulo-Fluminense-May-13-2024-Serie-A,2024-05-13,São Paulo,Fluminense,Campeonato Brasileiro Série A,50,50,83,84,53,29,100,75,,,15,12,7,4,22,18,557,552,24,11,10,6,8,6,21,18,4,0,4,4,18,16,53,48
Vitoria-Atletico-Goianiense-June-1-2024-Serie-A,2024-06-01,Vitória,Atlético Goianiense,Campeonato Brasileiro Série A,34,66,74,88,25,42,60,100,,,7,9,3,4,14,15,418,764,8,15,7,13,16,12,18,18,0,1,4,4,20,19,57,58
Gremio-Red-Bull-Bragantino-June-1-2024-Serie-A,2024-06-01,Grêmio,Red Bull Bragantino,Campeonato Brasileiro Série A,45,55,71,81,11,23,66,100,,,16,19,6,0,18,3,549,673,26,39,10,11,15,13,6,28,0,1,8,3,37,17,74,71
Cuiaba-Internacional-June-1-2024-Serie-A,2024-06-01,Cuiabá,Internacional,Campeonato Brasileiro Série A,37,63,72,83,38,22,50,100,,,12,21,0,2,16,16,400,625,16,9,2,5,16,13,20,8,4,1,8,3,17,18,52,71
Fluminense-Juventude-June-1-2024-Serie-A,2024-06-01,Fluminense,Juventude,Campeonato Brasileiro Série A,62,38,89,79,19,33,75,100,,,13,19,5,3,21,12,717,484,10,29,8,13,9,8,10,15,1,3,8,9,17,14,56,38
Criciuma-Palmeiras-June-2-2024-Serie-A,2024-06-02,Criciúma,Palmeiras,Campeonato Brasileiro Série A,39,61,71,77,33,18,75,75,,,17,9,4,6,16,32,433,586,13,17,10,9,4,12,26,14,0,1,12,9,12,19,55,74
Atletico-Mineiro-Bahia-June-2-2024-Serie-A,2024-06-02,Atlético Mineiro,Bahia,Campeonato Brasileiro Série A,64,36,85,76,19,22,50,75,,,13,9,5,4,25,13,720,450,19,11,10,3,15,13,17,21,6,0,5,15,13,15,60,58
Classico-dos-Milhoes-Vasco-da-Gama-Flamengo-June-2-2024-Serie-A,2024-06-02,Vasco da Gama,Flamengo,Campeonato Brasileiro Série A,27,73,69,91,100,60,66,50,,,18,6,1,8,12,18,343,796,19,8,7,6,12,15,24,14,1,1,5,2,11,20,53,36
Sao-Paulo-Cruzeiro-June-2-2024-Serie-A,2024-06-02,São Paulo,Cruzeiro,Campeonato Brasileiro Série A,54,46,88,86,36,30,100,50,,,18,11,4,2,17,9,663,572,16,6,10,8,5,6,10,16,0,1,9,7,9,19,65,36
Fortaleza-Athletico-Paranaense-June-2-2024-Serie-A,2024-06-02,Fortaleza,Athletico Paranaense,Campeonato Brasileiro Série A,52,48,78,78,36,13,100,75,,,12,17,2,4,14,17,585,555,24,19,5,13,15,21,23,20,0,2,11,7,19,19,87,73
Corinthians-Botafogo-RJ-June-1-2024-Serie-A,2024-06-01,Corinthians,Botafogo (RJ),Campeonato Brasileiro Série A,53,47,78,75,44,22,50,100,,,7,16,2,5,20,21,615,566,16,20,7,9,12,11,20,27,3,2,7,7,25,27,81,74
